# time(s) volume
88.3055 0.1724
88.5145 0.1584
88.7234 0.1416
88.9324 0.1295
89.1414 0.1803
89.3504 0.1857
89.5594 0.1818
89.7683 0.1242
90.0005 0.1594
90.2327 0.1812
90.4417 0.2256
90.6507 0.1786
90.8597 0.1630
91.0687 0.1651
91.2776 0.1381
91.4866 0.2120
91.6956 0.2078
91.9046 0.1947
92.1136 0.1966
92.3225 0.2163
92.5315 0.1834
92.7405 0.1430
92.9495 0.1714
93.1585 0.1506
93.3674 0.1948
93.5764 0.1750
93.7854 0.1890
93.9944 0.1423
94.2034 0.1943
94.4123 0.1801
94.6213 0.1773
94.8303 0.1393
95.0393 0.1883
95.2483 0.2099
95.4572 0.1808
95.6662 0.1368
95.8752 0.1771
96.0842 0.1762
96.2932 0.1794
96.5021 0.1994
96.7111 0.1664
96.9201 0.1486
97.1291 0.2484
97.3380 0.2547
97.5470 0.2515
97.7560 0.2472
97.9650 0.2614
98.1740 0.2703
98.3829 0.2510
98.5919 0.2588
98.8009 0.2344
99.0099 0.2127
99.2189 0.1881
99.4278 0.2362
99.6368 0.2087
99.8458 0.2124
100.0548 0.2383
100.2638 0.2026
100.4727 0.2054
100.6817 0.1534
100.8907 0.1561
101.0997 0.2315
101.3087 0.2115
101.5176 0.1988
101.7266 0.2437
101.9356 0.2255
102.1446 0.2225
102.3536 0.2322
102.5625 0.2528
102.7715 0.2582
103.0037 0.2465
103.2127 0.1874
103.4217 0.2248
103.6307 0.2051
103.8396 0.2451
104.0486 0.2288
104.2576 0.2433
104.4666 0.2176
104.6756 0.2595
104.8845 0.2894
105.0935 0.2316
105.3025 0.2654
105.5115 0.2461
105.7205 0.2463
105.9294 0.2555
106.1384 0.2200
106.3474 0.2860
106.5564 0.1334
106.7654 0.1649
106.9976 0.1564
107.2065 0.2201
107.4155 0.2243
107.6245 0.2496
107.8335 0.3028
108.0424 0.2141
108.2514 0.2526
108.4604 0.2175
108.6694 0.2167
108.8784 0.2567
109.0873 0.2098
109.2963 0.2738
109.5053 0.1804
109.7143 0.2763
109.9233 0.1834
110.1322 0.2205
110.3412 0.2408
110.5502 0.2627
110.7592 0.2974
110.9682 0.1721
111.1771 0.3097
111.3861 0.2465
111.5951 0.2299
111.8273 0.2235
112.0363 0.1467
112.2453 0.2860
