# time(s) volume
196.4176 0.2319
196.8123 0.2067
197.2071 0.2839
197.6018 0.2131
197.9966 0.2069
198.3913 0.2993
198.7860 0.2824
199.1808 0.2238
199.5755 0.2332
199.9702 0.2023
200.3650 0.2854
200.7597 0.1987
201.1545 0.2261
201.5492 0.2894
201.9439 0.2462
202.3387 0.2092
202.7334 0.2628
203.1282 0.2233
203.5461 0.2615
203.9409 0.1759
204.3356 0.2067
204.7303 0.1963
205.1251 0.2252
205.5198 0.2128
205.9146 0.2520
206.3093 0.1975
206.7040 0.2590
207.0988 0.1738
207.4935 0.1841
207.8883 0.2903
208.2830 0.2797
208.6777 0.2414
209.0725 0.2458
209.4672 0.2368
209.8620 0.2642
210.2567 0.2383
210.6514 0.2060
211.0462 0.2732
211.4409 0.2891
211.8356 0.1806
212.2304 0.2440
212.6251 0.1854
213.0199 0.2491
213.4146 0.2126
213.8093 0.2452
214.2041 0.1861
214.5988 0.2044
214.9936 0.1875
215.3883 0.1824
215.7830 0.2182
216.1778 0.2207
216.5725 0.0604
216.9673 0.1747
217.3620 0.1873
217.7567 0.2152
218.1515 0.0947
218.5462 0.1858
218.9410 0.0896
219.3357 0.2279
219.7304 0.0886
220.1252 0.1448
220.5199 0.2231
220.9146 0.1973
221.3094 0.0934
221.7041 0.2176
222.0989 0.0867
222.4936 0.2193
222.8883 0.0954
223.2831 0.1571
223.6778 0.2075
224.0726 0.2263
224.4673 0.0894
224.8620 0.1788
225.2568 0.1000
225.6515 0.2139
226.0695 0.0985
226.4642 0.1268
226.8590 0.2145
227.2537 0.1900
227.6484 0.1055
228.0432 0.2071
228.4379 0.2533
228.8327 0.2845
229.2274 0.2189
229.6221 0.2287
230.0169 0.3067
230.4116 0.2407
230.8063 0.2096
231.2011 0.1809
231.5958 0.2287
231.9906 0.2700
232.3853 0.2217
232.7800 0.2676
233.1748 0.2283
233.5695 0.2494
233.9643 0.2144
234.3590 0.2195
234.7537 0.2384
235.1485 0.2474
235.5432 0.2321
235.9380 0.2826
236.3327 0.2955
236.7274 0.2738
237.1222 0.2285
237.5169 0.2837
237.9117 0.2568
238.3064 0.2944
238.7011 0.2085
239.0959 0.2416
239.4906 0.2982
239.8854 0.2781
240.2801 0.2179
240.6748 0.1803
241.0696 0.2922
241.4643 0.3001
241.8590 0.2670
242.2306 0.2320
242.6253 0.2961
243.0200 0.2632
243.4148 0.2676
243.8095 0.2032
244.2043 0.2079
244.5990 0.2289
244.9937 0.1852
245.3885 0.2549
